Day	Time	Rs	Rn	PAR	Tair	RH	u	SatVapPr	VapPress	Battery	!water
110	0	-0,09929	-5,0607	0,90682	17,852	100	0,46664	2,0437	2,0438	12,482	0,0825
43	50	-0,17698	-1,5652	-1,6602	21,544	101,77	0,50371	2,5703	2,6159	12,677	0,048
114	100	-0,05638	-16,261	-0,23748	11,44	99,247	0,04972	1,3507	1,3405	12,472	0,077
116	1750	127,94	35,891	282,49	16,236	71,987	0,72235	1,8448	1,328	12,463	0,297
44	100	-0,27087	-7,0448	-2,0558	20,997	96,552	0,35454	2,4855	2,3998	12,672	0,064
50	950	50,91	30,507	114,74	20,832	101,29	0,45738	2,4604	2,4922	12,652	0,067
80	600	-0,00537	-13,99	0,28613	14,119	98,627	0,02285	1,6099	1,5878	12,557	0,073
85	1800	280,01	109,23	574,45	21,965	59,172	0,72235	2,6379	1,5605	12,559	0,2985
107	950	72,84	44,683	152,95	13,866	94,791	0,07844	1,5839	1,5011	12,479	0,1705
86	1750	248,27	124,67	542,59	22,637	68,674	1,2162	2,7486	1,8861	12,558	0,371
78	750	0,97672	-34,177	6,0246	17,468	87,119	0,77331	1,9948	1,7377	12,568	0,1655
33	2000	94,414	-42,535	189,11	19,544	63,212	0,79462	2,2733	1,4357	12,716	0,228
36	1050	404,25	253,95	836,91	20,449	61,052	0,68159	2,4036	1,4665	12,671	0,933
111	2150	-0,15567	-10,206	-1,7348	16,29	98,919	0,06269	1,8511	1,8311	12,483	0,0885
109	700	0,02684	-1,1767	0,46264	16,345	101,81	0,82427	1,8576	1,8912	12,484	0,0675
66	1250	494,08	323,09	1036,3	22,349	67,879	1,4172	2,701	1,8316	12,598	0,86
105	900	85	38,232	195,03	11,068	102,05	0,07288	1,3194	1,3466	12,481	0,2
77	1300	721,83	466,7	1542,2	22,83	62,998	1,6498	2,78	1,7512	12,57	0,7755
84	300	-0,18798	-18,207	-0,02436	10,193	99,347	0,15904	1,2431	1,235	12,545	0,071
63	1600	721,9	477,27	1524,5	24,126	58,722	1,5303	3,006	1,7651	12,61	0,9215
54	2200	-0,28423	-4,4766	-2,7427	19,498	95,252	0,17294	2,2655	2,1576	12,645	0,097
56	2250	-0,46933	-30,818	-0,15816	18,023	83,336	0,25447	2,0658	1,7216	12,639	0,1295
117	450	-0,02953	-11,211	0,3409	15,204	77,056	0,53613	1,7273	1,3294	12,465	0,177
32	2000	103,73	-44,309	202,02	19,812	60,76	0,80388	2,311	1,4026	12,716	0,2545
35	200	-0,11273	-22,791	0	12,097	94,786	0,13495	1,4107	1,3373	12,688	0,0995
89	1500	620,62	413,61	1292,8	21,947	54,22	0,88634	2,6351	1,4278	12,539	0,695
48	100	-0,38888	-7,1833	-0,12774	20,532	98,242	0,03582	2,4153	2,3728	12,666	0,0655
114	1900	4,1831	-27,473	15,682	14,932	85,148	0,1331	1,6972	1,4439	12,469	0,125
51	2350	-0,06972	-1,6728	-0,62029	22,527	98,81	0,02007	2,7289	2,6964	12,658	0,091
106	650	-0,51045	-22,755	0	7,23	99,921	0,09604	1,0171	1,0164	12,481	0,0655
48	2350	-0,02682	-4,1306	0,01825	19,992	102,05	0,04694	2,336	2,3839	12,659	0,048
34	200	-0,01342	-34,464	0,00609	12,73	91,025	0,09697	1,4706	1,3384	12,688	0,1015
32	400	-1,1058	-19,041	-0,40784	15,792	95,749	0,46201	1,7932	1,717	12,693	0,098
68	800	66,843	30,815	106,45	19,063	102,13	0,06732	2,2057	2,2527	12,6	0,242
110	1200	170,31	104,69	350,07	19,629	93,898	0,68529	2,2841	2,1448	12,482	0,347
69	600	-0,11806	-1,9747	0,46856	18,099	101,52	0,30914	2,0757	2,1073	12,601	0,06
87	250	0,30062	-10,414	0,26784	15,374	100,46	0,05342	1,7457	1,7537	12,543	0,074
117	250	-0,051	-12,027	0,00609	14,543	91,182	0,07195	1,6547	1,5087	12,466	0,092
77	2000	0,14757	-4,3109	0,53546	17,763	98,502	1,2885	2,0322	2,0018	12,574	0,082
101	400	-0,02684	-7,612	0,06087	14,955	94,968	0,06917	1,6992	1,6137	12,503	0,062
45	2000	20,549	-23,405	74,778	23,572	77,385	0,1961	2,9074	2,2488	12,681	0,183
